id,mp3
69dc4321b639a7d5b0fc18b4a853c95a,http://audio2.abiblica.org/bibles/app/audio/17/1/1.mp3
a1f07e371a8960d4a93e03467ecd43cf,http://audio2.abiblica.org/bibles/app/audio/17/19/1.mp3
3a970a40ad8d1b44d19508d8caf1c96f,http://audio2.abiblica.org/bibles/app/audio/17/16/1.mp3
206579800815ad16a06612dcfd2a6698,http://audio2.abiblica.org/bibles/app/audio/17/60/1.mp3
7247e39931061ca3c57f3e66412c6c1f,http://audio2.abiblica.org/bibles/app/audio/17/28/1.mp3
8615c57244ce52905efa865956bc5974,http://audio2.abiblica.org/bibles/app/audio/17/26/1.mp3
57f8414f5fcc2e7dbf6543b517382c02,http://audio2.abiblica.org/bibles/app/audio/17/2/1.mp3
ce06bbb793fec9c9028c52e0df961e15,http://audio2.abiblica.org/bibles/app/audio/17/59/1.mp3
b98a2c29d92ea64ef8efe79a3e5377ec,http://audio2.abiblica.org/bibles/app/audio/17/14/1.mp3
f2dbf594581df82cc857ff906adba895,http://audio2.abiblica.org/bibles/app/audio/17/64/1.mp3
c3cd4dc4ffb505052bff42b4c1065f93,http://audio2.abiblica.org/bibles/app/audio/17/34/1.mp3
642f4da904152e44366e08483977e3fa,http://audio2.abiblica.org/bibles/app/audio/17/37/1.mp3
23cbda7e4db8a846cccb097266616d85,http://audio2.abiblica.org/bibles/app/audio/17/4/1.mp3
edc992fa4b5f587191ea69cb5b1cb233,http://audio2.abiblica.org/bibles/app/audio/17/21/1.mp3
678660a38b90a6ec9ea7aef3dbc21290,http://audio2.abiblica.org/bibles/app/audio/17/47/1.mp3
63ff06a44315ca37303570596a21eec8,http://audio2.abiblica.org/bibles/app/audio/17/32/1.mp3
668c1335554a54a0f64adf3698514557,http://audio2.abiblica.org/bibles/app/audio/17/43/1.mp3
e77460b7347896235c217ae8ba8669eb,http://audio2.abiblica.org/bibles/app/audio/17/11/1.mp3
ce0c77fe051993abd28f76af8bfeb8ea,http://audio2.abiblica.org/bibles/app/audio/17/51/1.mp3
16c14174f279a5a388a76e29dbe22ae4,http://audio2.abiblica.org/bibles/app/audio/17/17/1.mp3
91564592304c42cf865db63ec68655d9,http://audio2.abiblica.org/bibles/app/audio/17/8/1.mp3
d129079036ee7bf31fefb5ae8796ed72,http://audio2.abiblica.org/bibles/app/audio/17/10/1.mp3
fc3f4db33c2489459d30da526ac2cd16,http://audio2.abiblica.org/bibles/app/audio/17/6/1.mp3
7cb69a9d23bbc137cadc703fa477d501,http://audio2.abiblica.org/bibles/app/audio/17/61/1.mp3
7e615f379d26c82ab68917652abd3094,http://audio2.abiblica.org/bibles/app/audio/17/41/1.mp3
801d5c999ecc9a0bff35c8c0ab66aeb7,http://audio2.abiblica.org/bibles/app/audio/17/30/1.mp3
578ff8b0aab1e5efd12e4df44fcc985e,http://audio2.abiblica.org/bibles/app/audio/17/42/1.mp3
8693c53d6a8d1bc4f1442786d1856f98,http://audio2.abiblica.org/bibles/app/audio/17/44/1.mp3
6f019be7d65286ed46cb7efa92e66c3d,http://audio2.abiblica.org/bibles/app/audio/17/3/1.mp3
92e1d1e68a7a97d175ae14688ad884ff,http://audio2.abiblica.org/bibles/app/audio/17/33/1.mp3
9a9611bf1cdf09d238b9754b66ef5166,http://audio2.abiblica.org/bibles/app/audio/17/31/1.mp3
e3a00c13a67eda96bcb2fc718fc6b116,http://audio2.abiblica.org/bibles/app/audio/17/23/1.mp3
449ebe9660ef75cb7459dc9ff4f5a6ad,http://audio2.abiblica.org/bibles/app/audio/17/18/1.mp3
04b281c22d03c3dc6aa19293e12c6058,http://audio2.abiblica.org/bibles/app/audio/17/39/1.mp3
20e8f69c9229d2bd6411be24b973d59e,http://audio2.abiblica.org/bibles/app/audio/17/27/1.mp3
9998d8c5429f0b32e0cbbbf6b85df8b4,http://audio2.abiblica.org/bibles/app/audio/17/58/1.mp3
f2d5a4bae043b7d5169975e3038303f8,http://audio2.abiblica.org/bibles/app/audio/17/62/1.mp3
869600aa47ef5496b4d1654926f6742d,http://audio2.abiblica.org/bibles/app/audio/17/40/1.mp3
187fa09df4b983a858cb1a0318ef1055,http://audio2.abiblica.org/bibles/app/audio/17/12/1.mp3
d284d821d4c08265a1fb221b75f226d8,http://audio2.abiblica.org/bibles/app/audio/17/22/1.mp3
dd94481e73f64da806a0f035e563a93d,http://audio2.abiblica.org/bibles/app/audio/17/52/1.mp3
14011dccd84bfe6eab98053a198eef2c,http://audio2.abiblica.org/bibles/app/audio/17/35/1.mp3
66b243612ba61ba7eb6bcd381d5a484b,http://audio2.abiblica.org/bibles/app/audio/17/25/1.mp3
034c0b2eb33ca7bb4310ad4d22bcebd0,http://audio2.abiblica.org/bibles/app/audio/17/38/1.mp3
c44af2577fc1120f7bbe4ae7859f62ba,http://audio2.abiblica.org/bibles/app/audio/17/65/1.mp3
0d4a97311104892bbbf39260f8966d70,http://audio2.abiblica.org/bibles/app/audio/17/46/1.mp3
173be448b72d42bf0e1e30798382febe,http://audio2.abiblica.org/bibles/app/audio/17/50/1.mp3
103a4b75fa3fa6d87e8d8de2b945eb39,http://audio2.abiblica.org/bibles/app/audio/17/13/1.mp3
d680e0030b8e45145a8f239dbda7084e,http://audio2.abiblica.org/bibles/app/audio/17/9/1.mp3
255f9265b13f20a83e9aefe788204210,http://audio2.abiblica.org/bibles/app/audio/17/5/1.mp3
df24e7b85f3ffa39123c7322d80e5396,http://audio2.abiblica.org/bibles/app/audio/17/48/1.mp3
cad6f6ee709afe89586a6a93a759d159,http://audio2.abiblica.org/bibles/app/audio/17/66/1.mp3
17c6ae53aa347169cda0560682e078f4,http://audio2.abiblica.org/bibles/app/audio/17/54/1.mp3
2359db7bc21fcb49e03dcc8fe73b0a28,http://audio2.abiblica.org/bibles/app/audio/17/36/1.mp3
87ba1ee8bee25f58eb15af9555cfba6b,http://audio2.abiblica.org/bibles/app/audio/17/45/1.mp3
ccc24310834b334a2fa79cfbd462b0fb,http://audio2.abiblica.org/bibles/app/audio/17/7/1.mp3
d92aa51c6c1be5184d3e4f1d311e5e2c,http://audio2.abiblica.org/bibles/app/audio/17/15/1.mp3
f5725e9eada293d2311a97964e8ee7eb,http://audio2.abiblica.org/bibles/app/audio/17/20/1.mp3
afb7cbcf2c66dd73e5b53f4e9a9fc8b3,http://audio2.abiblica.org/bibles/app/audio/17/49/1.mp3
952c30d947c0a6fa1cd3375ce417346a,http://audio2.abiblica.org/bibles/app/audio/17/56/1.mp3
3710545768636e77976752dd34af1d76,http://audio2.abiblica.org/bibles/app/audio/17/24/1.mp3
6c0217d847a257639396b6041a15196b,http://audio2.abiblica.org/bibles/app/audio/17/55/1.mp3
57cac965349e445e8bf12ca889d563a7,http://audio2.abiblica.org/bibles/app/audio/17/29/1.mp3
369e00236c65b83067c19f5656094362,http://audio2.abiblica.org/bibles/app/audio/17/53/1.mp3
